policy,doses,AUC_mean,AUC_p10,score_robust
fixed_two_dose,2,0.6678808219178082,0.31726466475629495,0.7899660872472146
periodic_booster,3,0.8648424657534247,0.4957038818189956,1.0618351830267216
robust_search,5,0.9591753424657535,0.7758523060192056,1.2522719566791976
rl_agent_dqn,31,0.9992958904109589,0.9905067994221834,0.14265065000648725
