policy,AUC_fraction_protected_mean,AUC_protprob_p10,time_above_threshold_mean,doses_per_patient,score_robust
fixed_two_dose,0.6678808219178082,0.31726466475629495,0.6821917808219178,2,0.7899660872472146
periodic_booster,0.866527397260274,0.5008163171302716,1.0,3,1.067098819251464
robust_best,0.9607424657534246,0.7822172200001624,1.0,5,1.2582945197535382
