lambda_robust,score_robust,AUC_fraction_protected_mean,AUC_protprob_p10,doses_per_patient,p10_threshold,cooldown_days,max_doses
0.0,0.7412315068493149,0.941231506849315,0.6870944800931151,4,0.37859472264935873,90,4
0.5,1.1163474478173563,0.9678547945205479,0.7969853065936167,5,0.5384532915561844,30,5
0.7,1.2757445091360795,0.9678547945205479,0.7969853065936167,5,0.5384532915561844,30,5
1.0,1.5148401011141646,0.9678547945205479,0.7969853065936167,5,0.5384532915561844,30,5
